Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),Mismatch probability (Vanilla GD),Error probability (Vanilla GD),Mismatch probability (Optimized GD),Error probability (Optimized GD),Mismatch probability (BFGS),Error probability (BFGS)
Heart Diseases Database,03_11_2021-21_39_53,-25.0,30,0.1,49.54294658294365,49.992355884116876,50.5,49.83333333333333,0,0,50.5,49.83333333333333,0,0
Heart Diseases Database,03_11_2021-21_39_54,-23.0,30,0.1,49.36701170488291,49.989384616196304,47.333333333333336,49.5,0,0,47.333333333333336,49.5,0,0
Heart Diseases Database,03_11_2021-21_39_54,-21.0,30,0.1,48.999535812686965,49.98735293252351,47.333333333333336,48.66666666666667,0,0,47.333333333333336,48.66666666666667,0,0
Heart Diseases Database,03_11_2021-21_39_54,-19.0,30,0.1,48.45845137654803,49.981451615569085,41.833333333333336,44.99999999999999,0,0,41.833333333333336,44.99999999999999,0,0
Heart Diseases Database,03_11_2021-21_39_55,-17.0,30,0.1,47.50148794643032,49.97909006746477,41.333333333333336,41.666666666666664,0,0,41.333333333333336,41.666666666666664,0,0
Heart Diseases Database,03_11_2021-21_39_55,-15.0,30,0.1,46.03985568144708,49.97392216368929,41.666666666666664,45.49999999999999,0,0,41.666666666666664,45.49999999999999,0,0
Heart Diseases Database,03_11_2021-21_39_56,-13.0,30,0.1,44.19501961639959,49.9669992796413,39.666666666666664,43.00000000000001,0,0,39.666666666666664,43.00000000000001,0,0
Heart Diseases Database,03_11_2021-21_39_56,-11.0,30,0.1,41.759760413067795,49.961340148350686,33.5,38.0,0,0,33.5,38.0,0,0
Heart Diseases Database,03_11_2021-21_39_57,-9.0,30,0.1,35.70803177057226,49.94410514674975,32.333333333333336,36.66666666666667,0,0,32.333333333333336,36.66666666666667,0,0
Heart Diseases Database,03_11_2021-21_39_57,-7.0,30,0.1,32.83352153083694,49.93676630576177,33.166666666666664,39.83333333333333,0,0,33.166666666666664,39.83333333333333,0,0
Heart Diseases Database,03_11_2021-21_39_57,-5.0,30,0.1,23.245988649467854,49.91409905122476,27.66666666666666,33.333333333333336,0,0,27.66666666666666,33.333333333333336,0,0
Heart Diseases Database,03_11_2021-21_39_58,-3.0000000000000004,30,0.1,21.01292421365483,49.90386833970851,28.000000000000004,37.33333333333333,0,0,28.000000000000004,37.33333333333333,0,0
Heart Diseases Database,03_11_2021-21_39_58,-1.0,30,0.1,13.351613543400841,49.87594973451368,24.66666666666667,29.333333333333332,0,0,24.66666666666667,29.333333333333332,0,0
Heart Diseases Database,03_11_2021-21_39_59,1.0000000000000002,30,0.1,2.7830589149014187,49.841505152109264,17.000000000000004,25.33333333333333,0,0,17.000000000000004,25.33333333333333,0,0
Heart Diseases Database,03_11_2021-21_39_59,3.0,30,0.1,1.7356513588741074,49.78980037620652,16.666666666666664,24.33333333333333,0,0,16.666666666666664,24.33333333333333,0,0
Heart Diseases Database,03_11_2021-21_39_59,5.0,30,0.1,0.44070772752852083,49.7398564846429,12.666666666666671,21.999999999999996,0,0,12.666666666666671,21.999999999999996,0,0
Heart Diseases Database,03_11_2021-21_40_00,7.0,30,0.1,0.006074339306712567,49.64144342851095,7.499999999999996,20.833333333333336,0,0,7.499999999999996,20.833333333333336,0,0
Heart Diseases Database,03_11_2021-21_40_00,9.0,30,0.1,2.188418816532571e-09,49.559096234899975,7.333333333333336,21.333333333333336,0,0,7.333333333333336,21.333333333333336,0,0
Heart Diseases Database,03_11_2021-21_40_01,11.0,30,0.1,1.8474498042486685e-09,49.50153783195573,6.666666666666665,21.999999999999996,0,0,6.666666666666665,21.999999999999996,0,0
Heart Diseases Database,03_11_2021-21_40_01,13.0,30,0.1,0.0,49.32665092045443,5.166666666666664,20.166666666666664,0,0,5.166666666666664,20.166666666666664,0,0
