Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),Mismatch probability (Vanilla GD),Error probability (Vanilla GD),Mismatch probability (Optimized GD),Error probability (Optimized GD),Mismatch probability (BFGS),Error probability (BFGS)
Heart Diseases Database,08_11_2021-08_10_51,-25.0,30,1,46.10922211774803,49.918282814637095,47.64000000000001,48.23333333333333,0,0,47.64000000000001,48.23333333333333,0,0
Heart Diseases Database,08_11_2021-08_11_02,-23.0,30,1,44.25607687423731,49.89671976458083,46.99333333333333,47.46666666666667,0,0,46.99333333333333,47.46666666666667,0,0
Heart Diseases Database,08_11_2021-08_11_13,-21.0,30,1,41.49491202222682,49.87100748959655,46.553333333333335,46.486666666666665,0,0,46.553333333333335,46.486666666666665,0,0
Heart Diseases Database,08_11_2021-08_11_25,-19.0,30,1,37.52856388795206,49.83702063132668,44.93333333333334,46.099999999999994,0,0,44.93333333333334,46.099999999999994,0,0
Heart Diseases Database,08_11_2021-08_11_35,-17.0,30,1,32.137445872833055,49.79825990503215,45.04666666666667,46.21333333333333,0,0,45.04666666666667,46.21333333333333,0,0
Heart Diseases Database,08_11_2021-08_11_46,-15.0,30,1,24.637641183442014,49.74265057144734,42.733333333333334,44.66,0,0,42.733333333333334,44.66,0,0
Heart Diseases Database,08_11_2021-08_11_56,-13.0,30,1,16.243265964690227,49.67435968767419,40.62,43.266666666666666,0,0,40.62,43.266666666666666,0,0
Heart Diseases Database,08_11_2021-08_12_07,-11.0,30,1,9.820581671198552,49.5926140980683,38.306666666666665,42.17333333333333,0,0,38.306666666666665,42.17333333333333,0,0
Heart Diseases Database,08_11_2021-08_12_17,-9.0,30,1,4.0192001353191324,49.48128048407791,34.74666666666667,38.44,0,0,34.74666666666667,38.44,0,0
Heart Diseases Database,08_11_2021-08_12_27,-7.0,30,1,1.880404794460283,49.359833981649,32.53333333333334,37.31333333333333,0,0,32.53333333333334,37.31333333333333,0,0
Heart Diseases Database,08_11_2021-08_12_38,-5.0,30,1,0.33608362600060493,49.180972755628986,29.200000000000003,34.553333333333335,0,0,29.200000000000003,34.553333333333335,0,0
Heart Diseases Database,08_11_2021-08_12_50,-3.0000000000000004,30,1,0.09976948637703345,48.98346577819973,26.046666666666663,32.34666666666667,0,0,26.046666666666663,32.34666666666667,0,0
Heart Diseases Database,08_11_2021-08_13_01,-1.0,30,1,0.004358293903812551,48.71743152789099,22.240000000000006,29.733333333333334,0,0,22.240000000000006,29.733333333333334,0,0
Heart Diseases Database,08_11_2021-08_13_11,1.0000000000000002,30,1,3.50982643960725e-05,48.3847098049378,18.00666666666667,27.15333333333333,0,0,18.00666666666667,27.15333333333333,0,0
Heart Diseases Database,08_11_2021-08_13_24,3.0,30,1,2.2375590520573586e-06,47.960704744400445,14.993333333333336,25.139999999999997,0,0,14.993333333333336,25.139999999999997,0,0
Heart Diseases Database,08_11_2021-08_13_35,5.0,30,1,7.410738689372921e-15,47.39372795522769,11.960000000000004,22.726666666666663,0,0,11.960000000000004,22.726666666666663,0,0
Heart Diseases Database,08_11_2021-08_13_46,7.0,30,1,0.0,46.72120064563186,10.233333333333338,21.713333333333328,0,0,10.233333333333338,21.713333333333328,0,0
Heart Diseases Database,08_11_2021-08_13_56,9.0,30,1,0.0,46.03409963048,8.16,21.213333333333328,0,0,8.16,21.213333333333328,0,0
Heart Diseases Database,08_11_2021-08_14_07,11.0,30,1,0.0,44.942929770907824,6.486666666666663,20.853333333333335,0,0,6.486666666666663,20.853333333333335,0,0
Heart Diseases Database,08_11_2021-08_14_17,13.0,30,1,0.0,43.550104156275964,4.893333333333338,20.040000000000003,0,0,4.893333333333338,20.040000000000003,0,0
