Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),Mismatch probability (Vanilla GD),Error probability (Vanilla GD),Mismatch probability (Optimized GD),Error probability (Optimized GD),Mismatch probability (BFGS),Error probability (BFGS)
Heart Diseases Database,03_11_2021-21_40_02,-25.0,30,1,46.16912984023102,49.91285277915102,47.66666666666667,49.33333333333333,0,0,47.66666666666667,49.33333333333333,0,0
Heart Diseases Database,03_11_2021-21_40_02,-23.0,30,1,44.3736926927236,49.89928418602418,45.49999999999999,48.5,0,0,45.49999999999999,48.5,0,0
Heart Diseases Database,03_11_2021-21_40_03,-21.0,30,1,41.369851125455256,49.86514681670117,44.666666666666664,47.0,0,0,44.666666666666664,47.0,0,0
Heart Diseases Database,03_11_2021-21_40_03,-19.0,30,1,36.812527744537746,49.836546301021315,44.166666666666664,46.5,0,0,44.166666666666664,46.5,0,0
Heart Diseases Database,03_11_2021-21_40_03,-17.0,30,1,31.271691608659058,49.79362481914287,46.0,46.5,0,0,46.0,46.5,0,0
Heart Diseases Database,03_11_2021-21_40_04,-15.0,30,1,25.784654308312334,49.74157953149522,44.333333333333336,45.49999999999999,0,0,44.333333333333336,45.49999999999999,0,0
Heart Diseases Database,03_11_2021-21_40_04,-13.0,30,1,13.829224565596054,49.66667510286957,39.666666666666664,40.5,0,0,39.666666666666664,40.5,0,0
Heart Diseases Database,03_11_2021-21_40_05,-11.0,30,1,7.732597623683279,49.59206657337208,35.16666666666667,38.16666666666667,0,0,35.16666666666667,38.16666666666667,0,0
Heart Diseases Database,03_11_2021-21_40_05,-9.0,30,1,2.7275651596093446,49.469959678621294,38.0,42.166666666666664,0,0,38.0,42.166666666666664,0,0
Heart Diseases Database,03_11_2021-21_40_06,-7.0,30,1,2.8107863548554555,49.371573791409105,36.16666666666667,39.33333333333333,0,0,36.16666666666667,39.33333333333333,0,0
Heart Diseases Database,03_11_2021-21_40_06,-5.0,30,1,0.2868488052034058,49.19652632969423,27.500000000000004,32.333333333333336,0,0,27.500000000000004,32.333333333333336,0,0
Heart Diseases Database,03_11_2021-21_40_07,-3.0000000000000004,30,1,0.1354965185178671,49.02051510818766,27.0,32.666666666666664,0,0,27.0,32.666666666666664,0,0
Heart Diseases Database,03_11_2021-21_40_07,-1.0,30,1,0.0007054237846703023,48.666573995526306,19.833333333333336,30.500000000000004,0,0,19.833333333333336,30.500000000000004,0,0
Heart Diseases Database,03_11_2021-21_40_08,1.0000000000000002,30,1,1.1235716755042537e-06,48.53458833005437,23.33333333333333,30.333333333333336,0,0,23.33333333333333,30.333333333333336,0,0
Heart Diseases Database,03_11_2021-21_40_08,3.0,30,1,0.0,47.97538427082375,15.666666666666663,23.0,0,0,15.666666666666663,23.0,0,0
Heart Diseases Database,03_11_2021-21_40_09,5.0,30,1,0.0,47.30476117336836,11.66666666666667,23.666666666666668,0,0,11.66666666666667,23.666666666666668,0,0
Heart Diseases Database,03_11_2021-21_40_09,7.0,30,1,0.0,46.98465536404377,10.33333333333334,23.666666666666668,0,0,10.33333333333334,23.666666666666668,0,0
Heart Diseases Database,03_11_2021-21_40_09,9.0,30,1,0.0,45.80140181962526,6.499999999999995,19.333333333333336,0,0,6.499999999999995,19.333333333333336,0,0
Heart Diseases Database,03_11_2021-21_40_10,11.0,30,1,0.0,45.3332789661252,6.333333333333336,20.499999999999996,0,0,6.333333333333336,20.499999999999996,0,0
Heart Diseases Database,03_11_2021-21_40_10,13.0,30,1,0.0,43.369004569862156,6.000000000000005,23.0,0,0,6.000000000000005,23.0,0,0
