Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),Mismatch probability (Vanilla GD),Error probability (Vanilla GD),Mismatch probability (Optimized GD),Error probability (Optimized GD),Mismatch probability (BFGS),Error probability (BFGS)
Heart Diseases Database,03_11_2021-21_40_11,-25.0,30,2,43.152677011842336,49.84253444137888,50.33333333333334,50.16666666666667,0,0,50.33333333333334,50.16666666666667,0,0
Heart Diseases Database,03_11_2021-21_40_11,-23.0,30,2,39.66311679758333,49.78737863908673,44.666666666666664,46.333333333333336,0,0,44.666666666666664,46.333333333333336,0,0
Heart Diseases Database,03_11_2021-21_40_12,-21.0,30,2,34.259025605146675,49.7327536675732,46.333333333333336,49.0,0,0,46.333333333333336,49.0,0,0
Heart Diseases Database,03_11_2021-21_40_12,-19.0,30,2,26.336339560779827,49.66504866995387,46.833333333333336,48.5,0,0,46.833333333333336,48.5,0,0
Heart Diseases Database,03_11_2021-21_40_13,-17.0,30,2,20.027195271803773,49.594115424239966,40.833333333333336,43.833333333333336,0,0,40.833333333333336,43.833333333333336,0,0
Heart Diseases Database,03_11_2021-21_40_13,-15.0,30,2,13.495548727992343,49.501197552811476,43.00000000000001,48.5,0,0,43.00000000000001,48.5,0,0
Heart Diseases Database,03_11_2021-21_40_14,-13.0,30,2,9.203747534552962,49.36698929317812,40.5,40.33333333333333,0,0,40.5,40.33333333333333,0,0
Heart Diseases Database,03_11_2021-21_40_14,-11.0,30,2,0.12809366977783185,49.088604671123946,35.333333333333336,37.33333333333333,0,0,35.333333333333336,37.33333333333333,0,0
Heart Diseases Database,03_11_2021-21_40_14,-9.0,30,2,1.0991988471532248,48.980114765031644,35.333333333333336,39.666666666666664,0,0,35.333333333333336,39.666666666666664,0,0
Heart Diseases Database,03_11_2021-21_40_15,-7.0,30,2,0.17320374258406687,48.85208467728869,31.000000000000007,34.333333333333336,0,0,31.000000000000007,34.333333333333336,0,0
Heart Diseases Database,03_11_2021-21_40_15,-5.0,30,2,0.004987098650999981,48.44007030255238,31.333333333333336,36.5,0,0,31.333333333333336,36.5,0,0
Heart Diseases Database,03_11_2021-21_40_16,-3.0000000000000004,30,2,7.138793593301311e-08,47.80564045638035,24.83333333333333,31.333333333333336,0,0,24.83333333333333,31.333333333333336,0,0
Heart Diseases Database,03_11_2021-21_40_16,-1.0,30,2,1.5373004721060587e-10,47.42471252546929,23.5,29.833333333333336,0,0,23.5,29.833333333333336,0,0
Heart Diseases Database,03_11_2021-21_40_17,1.0000000000000002,30,2,0.0,46.794357755320334,18.999999999999993,28.666666666666664,0,0,18.999999999999993,28.666666666666664,0,0
Heart Diseases Database,03_11_2021-21_40_17,3.0,30,2,0.0,46.11107422518238,17.666666666666664,25.33333333333333,0,0,17.666666666666664,25.33333333333333,0,0
Heart Diseases Database,03_11_2021-21_40_18,5.0,30,2,0.0,45.04451542531685,13.0,26.0,0,0,13.0,26.0,0,0
Heart Diseases Database,03_11_2021-21_40_18,7.0,30,2,0.0,43.735085952368294,10.33333333333334,22.666666666666668,0,0,10.33333333333334,22.666666666666668,0,0
Heart Diseases Database,03_11_2021-21_40_19,9.0,30,2,0.0,41.580792964907275,6.499999999999995,21.499999999999996,0,0,6.499999999999995,21.499999999999996,0,0
Heart Diseases Database,03_11_2021-21_40_19,11.0,30,2,0.0,40.42449341083178,6.833333333333336,19.999999999999996,0,0,6.833333333333336,19.999999999999996,0,0
Heart Diseases Database,03_11_2021-21_40_19,13.0,30,2,0.0,38.58006848693843,5.833333333333335,21.666666666666668,0,0,5.833333333333335,21.666666666666668,0,0
