Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),Mismatch probability (Vanilla GD),Error probability (Vanilla GD),Mismatch probability (Optimized GD),Error probability (Optimized GD),Mismatch probability (BFGS),Error probability (BFGS)
Heart Diseases Database,08_11_2021-08_07_10,-25.0,30,0.1,49.582515448213314,49.99171387097552,47.14666666666667,48.31333333333333,0,0,47.14666666666667,48.31333333333333,0,0
Heart Diseases Database,08_11_2021-08_07_19,-23.0,30,0.1,49.32302491419417,49.98979152177246,47.46,48.24666666666667,0,0,47.46,48.24666666666667,0,0
Heart Diseases Database,08_11_2021-08_07_30,-21.0,30,0.1,48.96000789829621,49.98700440273293,46.313333333333325,47.486666666666665,0,0,46.313333333333325,47.486666666666665,0,0
Heart Diseases Database,08_11_2021-08_07_41,-19.0,30,0.1,48.33221336911017,49.98384372919908,45.53333333333334,46.28666666666666,0,0,45.53333333333334,46.28666666666666,0,0
Heart Diseases Database,08_11_2021-08_07_52,-17.0,30,0.1,47.51474109654315,49.979978299801914,44.279999999999994,45.48,0,0,44.279999999999994,45.48,0,0
Heart Diseases Database,08_11_2021-08_08_04,-15.0,30,0.1,46.134170223577485,49.97453695337331,41.92666666666667,44.02666666666667,0,0,41.92666666666667,44.02666666666667,0,0
Heart Diseases Database,08_11_2021-08_08_17,-13.0,30,0.1,44.34086639664294,49.9676203497494,40.18000000000001,42.78666666666666,0,0,40.18000000000001,42.78666666666666,0,0
Heart Diseases Database,08_11_2021-08_08_30,-11.0,30,0.1,41.47867765443461,49.95845755581583,38.626666666666665,42.233333333333334,0,0,38.626666666666665,42.233333333333334,0,0
Heart Diseases Database,08_11_2021-08_08_42,-9.0,30,0.1,37.935396580170504,49.94980433897353,35.96,39.7,0,0,35.96,39.7,0,0
Heart Diseases Database,08_11_2021-08_08_53,-7.0,30,0.1,31.961615018109356,49.93541699571915,32.62666666666667,37.23333333333333,0,0,32.62666666666667,37.23333333333333,0,0
Heart Diseases Database,08_11_2021-08_09_04,-5.0,30,0.1,24.677765425278277,49.919608388916075,29.333333333333332,34.61333333333333,0,0,29.333333333333332,34.61333333333333,0,0
Heart Diseases Database,08_11_2021-08_09_15,-3.0000000000000004,30,0.1,16.776340750831622,49.89833582520245,25.900000000000002,32.58,0,0,25.900000000000002,32.58,0,0
Heart Diseases Database,08_11_2021-08_09_26,-1.0,30,0.1,10.029092991423681,49.87233394092913,22.099999999999998,30.379999999999995,0,0,22.099999999999998,30.379999999999995,0,0
Heart Diseases Database,08_11_2021-08_09_37,1.0000000000000002,30,0.1,3.3979939675039206,49.834996500648614,17.979999999999997,26.21333333333333,0,0,17.979999999999997,26.21333333333333,0,0
Heart Diseases Database,08_11_2021-08_09_47,3.0,30,0.1,1.5466942230673424,49.794301190491716,14.859999999999996,24.46666666666667,0,0,14.859999999999996,24.46666666666667,0,0
Heart Diseases Database,08_11_2021-08_09_58,5.0,30,0.1,0.47553364043085333,49.745212864010256,12.613333333333332,23.83333333333333,0,0,12.613333333333332,23.83333333333333,0,0
Heart Diseases Database,08_11_2021-08_10_08,7.0,30,0.1,0.06455156127075216,49.674352978426676,9.526666666666673,21.84666666666667,0,0,9.526666666666673,21.84666666666667,0,0
Heart Diseases Database,08_11_2021-08_10_19,9.0,30,0.1,0.02158020456373484,49.59088362164928,7.766666666666666,21.18,0,0,7.766666666666666,21.18,0,0
Heart Diseases Database,08_11_2021-08_10_29,11.0,30,0.1,0.0005779148192785131,49.48751041989433,6.513333333333337,20.50666666666666,0,0,6.513333333333337,20.50666666666666,0,0
Heart Diseases Database,08_11_2021-08_10_40,13.0,30,0.1,3.073260247147639e-07,49.36764806045193,5.266666666666664,20.413333333333338,0,0,5.266666666666664,20.413333333333338,0,0
