Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),Mismatch probability (Vanilla GD),Error probability (Vanilla GD),Mismatch probability (Optimized GD),Error probability (Optimized GD),Mismatch probability (BFGS),Error probability (BFGS)
Heart Diseases Database,03_11_2021-16_09_29,-25.0,30,2,38.775525813354314,49.39024751075466,50.33333333333334,50.16666666666667,0,0,50.33333333333334,50.16666666666667,0,0
Heart Diseases Database,03_11_2021-16_09_29,-23.0,30,2,31.616540095977165,49.176736557940714,44.666666666666664,46.333333333333336,0,0,44.666666666666664,46.333333333333336,0,0
Heart Diseases Database,03_11_2021-16_09_30,-21.0,30,2,23.709433331054317,48.96541814519756,46.333333333333336,49.0,0,0,46.333333333333336,49.0,0,0
Heart Diseases Database,03_11_2021-16_09_30,-19.0,30,2,12.76070876406868,48.70337786209829,46.833333333333336,48.5,0,0,46.833333333333336,48.5,0,0
Heart Diseases Database,03_11_2021-16_09_31,-17.0,30,2,8.314373195297913,48.429517879086454,40.833333333333336,43.833333333333336,0,0,40.833333333333336,43.833333333333336,0,0
Heart Diseases Database,03_11_2021-16_09_31,-15.0,30,2,5.617491793613137,48.0705656400267,43.00000000000001,48.5,0,0,43.00000000000001,48.5,0,0
Heart Diseases Database,03_11_2021-16_09_31,-13.0,30,2,2.3366526529435387,47.55488743999137,40.5,40.33333333333333,0,0,40.5,40.33333333333333,0,0
Heart Diseases Database,03_11_2021-16_09_32,-11.0,30,2,4.0671040360457093e-05,46.48084402244207,35.333333333333336,37.33333333333333,0,0,35.333333333333336,37.33333333333333,0,0
Heart Diseases Database,03_11_2021-16_09_32,-9.0,30,2,0.041540852555200444,46.07584275759102,35.333333333333336,39.666666666666664,0,0,35.333333333333336,39.666666666666664,0,0
Heart Diseases Database,03_11_2021-16_09_33,-7.0,30,2,0.0001955874742087897,45.58818555942295,31.000000000000007,34.333333333333336,0,0,31.000000000000007,34.333333333333336,0,0
Heart Diseases Database,03_11_2021-16_09_33,-5.0,30,2,3.2853067044591455e-08,44.03921389680002,31.333333333333336,36.5,0,0,31.333333333333336,36.5,0,0
Heart Diseases Database,03_11_2021-16_09_34,-3.0000000000000004,30,2,0.0,41.6509393907893,24.83333333333333,31.333333333333336,0,0,24.83333333333333,31.333333333333336,0,0
Heart Diseases Database,03_11_2021-16_09_34,-1.0,30,2,0.0,40.36782681736572,23.5,29.833333333333336,0,0,23.5,29.833333333333336,0,0
Heart Diseases Database,03_11_2021-16_09_35,1.0000000000000002,30,2,0.0,38.10409736794493,18.999999999999993,28.666666666666664,0,0,18.999999999999993,28.666666666666664,0,0
Heart Diseases Database,03_11_2021-16_09_35,3.0,30,2,0.0,36.08003795458803,17.666666666666664,25.33333333333333,0,0,17.666666666666664,25.33333333333333,0,0
Heart Diseases Database,03_11_2021-16_09_36,5.0,30,2,0.0,32.88718982620693,13.0,26.0,0,0,13.0,26.0,0,0
Heart Diseases Database,03_11_2021-16_09_36,7.0,30,2,0.0,28.879369013099055,10.33333333333334,22.666666666666668,0,0,10.33333333333334,22.666666666666668,0,0
Heart Diseases Database,03_11_2021-16_09_37,9.0,30,2,0.0,24.362483197987885,6.499999999999995,21.499999999999996,0,0,6.499999999999995,21.499999999999996,0,0
Heart Diseases Database,03_11_2021-16_09_37,11.0,30,2,0.0,22.738690368183317,6.833333333333336,19.999999999999996,0,0,6.833333333333336,19.999999999999996,0,0
Heart Diseases Database,03_11_2021-16_09_38,13.0,30,2,0.0,19.749812951328703,5.833333333333335,21.666666666666668,0,0,5.833333333333335,21.666666666666668,0,0
