Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),Mismatch probability (Vanilla GD),Error probability (Vanilla GD),Mismatch probability (Optimized GD),Error probability (Optimized GD),Mismatch probability (BFGS),Error probability (BFGS)
Heart Diseases Database,08_11_2021-08_14_28,-25.0,30,2,42.95619519181268,49.8349477223753,47.88666666666666,48.053333333333335,0,0,47.88666666666666,48.053333333333335,0,0
Heart Diseases Database,08_11_2021-08_14_38,-23.0,30,2,39.51633629697775,49.78899347122708,47.03333333333334,47.73333333333334,0,0,47.03333333333334,47.73333333333334,0,0
Heart Diseases Database,08_11_2021-08_14_49,-21.0,30,2,34.554002200893045,49.73768317097724,46.50666666666666,47.153333333333336,0,0,46.50666666666666,47.153333333333336,0,0
Heart Diseases Database,08_11_2021-08_15_00,-19.0,30,2,28.83047105173842,49.67875720729577,44.97333333333333,46.28,0,0,44.97333333333333,46.28,0,0
Heart Diseases Database,08_11_2021-08_15_11,-17.0,30,2,21.070289971565,49.5914210675389,44.48,45.89333333333333,0,0,44.48,45.89333333333333,0,0
Heart Diseases Database,08_11_2021-08_15_21,-15.0,30,2,11.656652565720732,49.470538101177894,42.02,44.18666666666666,0,0,42.02,44.18666666666666,0,0
Heart Diseases Database,08_11_2021-08_15_32,-13.0,30,2,6.5842395383329695,49.34456938965068,40.766666666666666,43.400000000000006,0,0,40.766666666666666,43.400000000000006,0,0
Heart Diseases Database,08_11_2021-08_15_42,-11.0,30,2,3.1327952645110804,49.196174255581624,37.89333333333333,40.98666666666667,0,0,37.89333333333333,40.98666666666667,0,0
Heart Diseases Database,08_11_2021-08_15_53,-9.0,30,2,0.9259410410527417,48.97787047033454,36.45333333333334,40.36666666666666,0,0,36.45333333333334,40.36666666666666,0,0
Heart Diseases Database,08_11_2021-08_16_04,-7.0,30,2,0.16505098838639198,48.70564345599973,33.086666666666666,37.42666666666666,0,0,33.086666666666666,37.42666666666666,0,0
Heart Diseases Database,08_11_2021-08_16_15,-5.0,30,2,0.027025912575845412,48.367237832254844,29.800000000000004,34.69333333333333,0,0,29.800000000000004,34.69333333333333,0,0
Heart Diseases Database,08_11_2021-08_16_25,-3.0000000000000004,30,2,0.0007551525191317724,47.95598302218283,25.239999999999995,32.30666666666666,0,0,25.239999999999995,32.30666666666666,0,0
Heart Diseases Database,08_11_2021-08_16_36,-1.0,30,2,1.820277055090432e-05,47.42410693335035,22.293333333333333,30.34,0,0,22.293333333333333,30.34,0,0
Heart Diseases Database,08_11_2021-08_16_48,1.0000000000000002,30,2,7.860441764891608e-09,46.80232727877733,18.533333333333335,27.326666666666664,0,0,18.533333333333335,27.326666666666664,0,0
Heart Diseases Database,08_11_2021-08_16_59,3.0,30,2,1.4802973661668755e-18,45.90481712506753,15.559999999999995,24.96666666666667,0,0,15.559999999999995,24.96666666666667,0,0
Heart Diseases Database,08_11_2021-08_17_10,5.0,30,2,0.0,44.846759928465204,12.313333333333333,22.96666666666667,0,0,12.313333333333333,22.96666666666667,0,0
Heart Diseases Database,08_11_2021-08_17_22,7.0,30,2,0.0,43.68128539958505,10.033333333333339,21.79333333333333,0,0,10.033333333333339,21.79333333333333,0,0
Heart Diseases Database,08_11_2021-08_17_35,9.0,30,2,0.0,42.01942513967272,8.040000000000003,21.153333333333336,0,0,8.040000000000003,21.153333333333336,0,0
Heart Diseases Database,08_11_2021-08_17_46,11.0,30,2,0.0,40.11189396817911,6.346666666666668,20.920000000000005,0,0,6.346666666666668,20.920000000000005,0,0
Heart Diseases Database,08_11_2021-08_17_56,13.0,30,2,0.0,37.667708636773895,5.100000000000005,20.133333333333336,0,0,5.100000000000005,20.133333333333336,0,0
